Permittivity ,Lambda,Theta,R,T,Rs,Ts,,
1,0.00000054,20,0.08718564,0.91281436,0.12171133,0.87828867,,
1,0.00000054,20,0.11197254,0.88802746,0.15481666,0.84518334,,
1,0.00000055,20,0.11623742,0.88376258,0.160454,0.839546,,
1,0.00000055,20,0.09984506,0.90015494,0.13873837,0.86126163,,
1,0.00000056,20,0.06856073,0.93143927,0.0964119,0.9035881,,
1,0.00000056,20,0.03353791,0.96646209,0.04762283,0.95237717,,
1,0.00000056,20,0.00835159,0.99164841,0.01161566,0.98838434,,
1,0.00000057,20,0.00336073,0.99663927,0.00446466,0.99553534,,
1,0.00000058,20,0.01959967,0.98040033,0.02801874,0.97198126,,
1,0.00000058,20,0.04892226,0.95107774,0.06956831,0.93043169,,
1,0.00000059,20,0.07976255,0.92023745,0.11205449,0.88794551,,
1,0.00000059,20,0.10265905,0.89734095,0.14281248,0.85718752,,
1,0.0000006,20,0.11234112,0.88765888,0.15558615,0.84441385,,
1,0.0000006,20,0.10745515,0.89254485,0.14904286,0.85095714,,
1,0.00000061,20,0.08965701,0.91034299,0.12518429,0.87481571,,
1,0.00000061,20,0.06338127,0.93661873,0.08933191,0.91066809,,
1,0.00000062,20,0.03511627,0.96488373,0.0498805,0.9501195,,
1,0.00000062,20,0.01248047,0.98751953,0.01764069,0.98235931,,
1,0.00000063,20,0.00168358,0.99831642,0.00216584,0.99783416,,
1,0.00000063,20,0.00528777,0.99471223,0.00764224,0.99235776,,
1,0.00000064,20,0.02121731,0.97878269,0.03083267,0.96916733,,
1,0.00000064,20,0.04410929,0.95589071,0.06342218,0.93657782,,
1,0.00000065,20,0.0677843,0.9322157,0.09634514,0.90365486,,
1,0.00000065,20,0.08709013,0.91290987,0.12262334,0.87737666,,
1,0.00000066,20,0.09874409,0.90125591,0.13821442,0.86178558,,
1,0.00000066,20,0.10129141,0.89870859,0.14151593,0.85848407,,
1,0.00000067,20,0.09477984,0.90522016,0.1326896,0.8673104,,
1,0.00000067,20,0.08058941,0.91941059,0.11341318,0.88658682,,
1,0.00000068,20,0.06112748,0.93887252,0.0866398,0.9133602,,
1,0.00000068,20,0.03978154,0.96021846,0.05678187,0.94321813,,
1,0.00000069,20,0.02031992,0.97968008,0.02911117,0.97088883,,
1,0.00000069,20,0.00635738,0.99364262,0.00903265,0.99096735,,
1,0.0000007,20,0.00036073,0.99963927,0.00045127,0.99954873,,
1,0.0000007,20,0.00309881,0.99690119,0.00465308,0.99534692,,
1,0.00000071,20,0.01348744,0.98651256,0.01994014,0.98005986,,
1,0.00000071,20,0.02905879,0.97094121,0.04245381,0.95754619,,
1,0.00000072,20,0.04679051,0.95320949,0.06763519,0.93236481,,
1,0.00000072,20,0.06376281,0.93623719,0.09131701,0.90868299,,
1,0.00000073,20,0.07768539,0.92231461,0.11044182,0.88955818,,
1,0.00000073,20,0.08699684,0.91300316,0.12306917,0.87693083,,
1,0.00000074,20,0.09089382,0.90910618,0.12828297,0.87171703,,
1,0.00000074,20,0.08921846,0.91078154,0.12595261,0.87404739,,
1,0.00000075,20,0.0823592,0.9176408,0.11657763,0.88342237,,
1,0.00000075,20,0.07120806,0.92879194,0.10125715,0.89874285,,
1,0.00000045,25,0.07298671,0.92701329,0.12660343,0.87339657,,
1,0.00000046,25,0.08970653,0.91029347,0.1541248,0.8458752,,
1,0.00000046,25,0.0726786,0.9273214,0.12694712,0.87305288,,
1,0.00000047,25,0.03465908,0.96534092,0.06267363,0.93732637,,
1,0.00000047,25,0.00457059,0.99542941,0.00832792,0.99167208,,
1,0.00000048,25,0.00737691,0.99262309,0.01262893,0.98737107,,
1,0.00000048,25,0.04048526,0.95951474,0.07089878,0.92910122,,
1,0.00000049,25,0.07885175,0.92114825,0.1351104,0.8648896,,
1,0.00000049,25,0.09946843,0.90053157,0.16824675,0.83175325,,
1,0.0000005,25,0.09321355,0.90678645,0.15863682,0.84136318,,
1,0.0000005,25,0.06431043,0.93568957,0.11192986,0.88807014,,
1,0.00000051,25,0.02774677,0.97225323,0.04943571,0.95056429,,
1,0.00000051,25,0.00433535,0.99566465,0.00719458,0.99280542,,
1,0.00000052,25,0.00805802,0.99194198,0.01367991,0.98632009,,
1,0.00000052,25,0.0356211,0.9643789,0.06246457,0.93753543,,
1,0.00000053,25,0.07070108,0.92929892,0.12165166,0.87834834,,
1,0.00000053,25,0.09683501,0.90316499,0.16369873,0.83630127,,
1,0.00000054,25,0.1047766,0.8952234,0.17616861,0.82383139,,
1,0.00000054,25,0.09297765,0.90702235,0.15765946,0.84234054,,
1,0.00000055,25,0.06605669,0.93394331,0.11410108,0.88589892,,
1,0.00000055,25,0.03401533,0.96598467,0.05978116,0.94021884,,
1,0.00000056,25,0.00946168,0.99053832,0.01626865,0.98373135,,
1,0.00000056,25,0.00261753,0.99738247,0.00396316,0.99603684,,
1,0.00000056,25,0.01548897,0.98451103,0.02749594,0.97250406,,
1,0.00000057,25,0.04135129,0.95864871,0.07305083,0.92694917,,
1,0.00000058,25,0.06960437,0.93039563,0.12058229,0.87941771,,
1,0.00000058,25,0.09108162,0.90891838,0.15523422,0.84476578,,
1,0.00000059,25,0.10043806,0.89956194,0.16988213,0.83011787,,
1,0.00000059,25,0.09618038,0.90381962,0.16304416,0.83695584,,
1,0.0000006,25,0.07986869,0.92013131,0.13685145,0.86314855,,
1,0.0000006,25,0.05582161,0.94417839,0.09710645,0.90289355,,
1,0.00000061,25,0.03025862,0.96974138,0.05326599,0.94673401,,
1,0.00000061,25,0.01026803,0.98973197,0.01785763,0.98214237,,
1,0.00000062,25,0.00137885,0.99862115,0.00201106,0.99798894,,
1,0.00000062,25,0.00560753,0.99439247,0.01020304,0.98979696,,
